nama_akun,kode_akun,pos_saldo,pos_laporan
AKTIVA,1.0.00.00.00,DEBET,NERACA
AKTIVA LANCAR,1.1.00.00.00,DEBET,NERACA
Kas & Setara Kas,1.1.01.00.00,DEBET,NERACA
Kas,1.1.01.01.00,DEBET,NERACA
KAS - IDR,1.1.01.01.01,DEBET,NERACA
KAS - USD,1.1.01.01.02,DEBET,NERACA
KAS DALAM PERJALANAN,1.1.01.01.03,DEBET,NERACA
Bank,1.1.01.02.00,DEBET,NERACA
BANK DANAMON,1.1.01.02.01,DEBET,NERACA
BANK CIMB NIAGA,1.1.01.02.02,DEBET,NERACA
BANK C,1.1.01.02.03,DEBET,NERACA
BANK D,1.1.01.02.04,DEBET,NERACA
BANK E,1.1.01.02.05,DEBET,NERACA
BANK F,1.1.01.02.06,DEBET,NERACA
BANK G,1.1.01.02.07,DEBET,NERACA
BANK H,1.1.01.02.08,DEBET,NERACA
BANK I,1.1.01.02.09,DEBET,NERACA
BANK J,1.1.01.02.10,DEBET,NERACA
SETORAN DALAM PERJALANAN,1.1.01.03.00,DEBET,NERACA
Deposito Berjangka,1.1.02.00.00,DEBET,NERACA
Deposito Bank,1.1.02.01.00,DEBET,NERACA
DEPOSITO A,1.1.02.01.01,DEBET,NERACA
Investasi Surat Berharga,1.1.03.00.00,DEBET,NERACA
Investasi Saham,1.1.03.01.00,DEBET,NERACA
INVESTASI A,1.1.03.01.01,DEBET,NERACA
Piutang Usaha,1.1.04.00.00,DEBET,NERACA
Piutang Usaha IDR,1.1.04.01.00,DEBET,NERACA
PIUTANG USAHA - IDR,1.1.04.01.01,DEBET,NERACA
CADANGAN KERUGIAN PIUTANG IDR,1.1.04.01.02,DEBET,NERACA
Piutang Usaha USD,1.1.04.02.00,DEBET,NERACA
PIUTANG USAHA - USD,1.1.04.02.01,DEBET,NERACA
CADANGAN KERUGIAN PIUTANG USD,1.1.04.02.02,DEBET,NERACA
Piutang Lain-lain,1.1.05.00.00,DEBET,NERACA
Piutang Affiliasi,1.1.05.01.00,DEBET,NERACA
PIUTANG AFFILIASI PT. A,1.1.05.01.01,DEBET,NERACA
PIUTANG AFFILIASI PT. B,1.1.05.01.02,DEBET,NERACA
PIUTANG AFFILIASI PT. C,1.1.05.01.03,DEBET,NERACA
PIUTANG AFFILIASI PT. D,1.1.05.01.04,DEBET,NERACA
PIUTANG AFFILIASI PT. E,1.1.05.01.05,DEBET,NERACA
PIUTANG AFFILIASI PT. F,1.1.05.01.06,DEBET,NERACA
PIUTANG BPJSTK KARYAWAN,1.1.05.02.00,DEBET,NERACA
PIUTANG PEMEGANG SAHAM,1.1.05.03.00,DEBET,NERACA
PIUTANG LAINNYA,1.1.05.99.00,DEBET,NERACA
Persediaan Barang,1.1.06.00.00,DEBET,NERACA
PERSEDIAAN BARANG DAGANG,1.1.06.01.00,DEBET,NERACA
PERSEDIAAN BAHAN BAKU,1.1.06.02.00,DEBET,NERACA
BARANG DALAM PROSES,1.1.06.03.00,DEBET,NERACA
PERSEDIAAN BARANG JADI,1.1.06.04.00,DEBET,NERACA
PERSEDIAAN BAHAN PEMBANTU,1.1.06.05.00,DEBET,NERACA
Job Dalam Pelaksanaan,1.1.10.00.00,DEBET,NERACA
JDP - A,1.1.10.01.00,DEBET,NERACA
JDP - B,1.1.10.02.00,DEBET,NERACA
Uang Muka Pajak,1.1.20.00.00,DEBET,NERACA
PAJAK DIBAYAR DIMUKA - PPN MASUKAN,1.1.20.01.00,DEBET,NERACA
PAJAK DIBAYAR DIMUKA - PPh 21,1.1.20.02.00,DEBET,NERACA
PAJAK DIBAYAR DIMUKA - PPh 22,1.1.20.03.00,DEBET,NERACA
PAJAK DIBAYAR DIMUKA - PPh 23,1.1.20.04.00,DEBET,NERACA
PAJAK DIBAYAR DIMUKA - PPh 25,1.1.20.05.00,DEBET,NERACA
Biaya dibayar dimuka,1.1.30.00.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - ASURANSI KENDARAAN,1.1.30.01.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - ASURANSI BANGUNAN,1.1.30.02.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - BUNGA LEASING KENDARAAN,1.1.30.03.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - SEWA RUMAH,1.1.30.04.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - SEWA KANTOR,1.1.30.05.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - SEWA GUDANG,1.1.30.06.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - ASURANSI KESEHATAN,1.1.30.07.00,DEBET,NERACA
BIAYA DIBAYAR DIMUKA - ASURANSI JIWA,1.1.30.08.00,DEBET,NERACA
Uang Muka Lain-Lain,1.1.50.00.00,DEBET,NERACA
UANG MUKA PEMBELIAN,1.1.50.01.00,DEBET,NERACA
UANG MUKA PERJALANAN DINAS,1.1.50.02.00,DEBET,NERACA
Uang Muka Operasional,1.1.50.03.00,DEBET,NERACA
UANG MUKA KARYAWAN A,1.1.50.03.01,DEBET,NERACA
ADVANCE TO B,1.1.50.03.02,DEBET,NERACA
ADVANCE TO C,1.1.50.03.03,DEBET,NERACA
ADVANCE TO D,1.1.50.03.04,DEBET,NERACA
ADVANCE TO E,1.1.50.03.05,DEBET,NERACA
ADVANCE TO F,1.1.50.03.06,DEBET,NERACA
ADVANCE TO G,1.1.50.03.07,DEBET,NERACA
ADVANCE TO H,1.1.50.03.08,DEBET,NERACA
